t,cap1_x,cap2_x,cap3_x,cap4_x,cap5_x,cap1_y,cap2_y,cap3_y,cap4_y,cap5_y,cap1_z,cap2_z,cap3_z,cap4_z,cap5_z
0.3333333333333333,0.0016982366796582937,0.0036679806653410196,0.0052428836934268475,0.005362179130315781,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749934434890747,1.7916827201843262,1.708348274230957,1.6250190734863281,1.5416666269302368
0.35,0.0012795705115422606,0.0030780474189668894,0.004714820999652147,0.005151849240064621,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749922513961792,1.7916769981384277,1.7083467245101929,1.625017523765564,1.5416666269302368
0.36666666666666664,0.000930715468712151,0.002482234500348568,0.004097199533134699,0.0048856912180781364,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749912977218628,1.7916717529296875,1.708340048789978,1.6250150203704834,1.5416666269302368
0.3833333333333333,0.0006340688560158014,0.0018912908853963017,0.0034366182517260313,0.004592578858137131,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749909400939941,1.791666030883789,1.708335041999817,1.6250108480453491,1.5416666269302368
0.4,0.0003731613396666944,0.0013154763728380203,0.002771930303424597,0.00429542688652873,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749892711639404,1.7916598320007324,1.7083276510238647,1.6250077486038208,1.5416666269302368
0.4166666666666667,0.00013546572881750762,0.000768569705542177,0.002137554809451103,0.004012304358184338,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749825954437256,1.7916536331176758,1.7083184719085693,1.6250052452087402,1.5416666269302368
0.43333333333333335,-8.805608376860619e-05,0.0002713111462071538,0.00157058029435575,0.0037605022080242634,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749784231185913,1.79164719581604,1.708307147026062,1.6250035762786865,1.5416666269302368
0.45,-0.0003032463137060404,-0.00014841801021248102,0.0011140115093439817,0.0035594410728663206,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.874973177909851,1.7916412353515625,1.7082977294921875,1.6250014305114746,1.5416666269302368
0.4666666666666667,-0.0005100365378893912,-0.00046095525613054633,0.0008101430139504373,0.00342891039326787,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749722242355347,1.791640043258667,1.7082897424697876,1.6250003576278687,1.5416666269302368
0.48333333333333334,-0.0006978539749979973,-0.0006430336507037282,0.0006869664648547769,0.0033827575389295816,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749710321426392,1.791638731956482,1.7082891464233398,1.6250001192092896,1.5416666269302368
0.5,-0.000844559574034065,-0.0006849368219263852,0.0007455192389898002,0.003421877045184374,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749706745147705,1.791638731956482,1.7082905769348145,1.6250009536743164,1.5416666269302368
0.5166666666666666,-0.0009220658103004098,-0.000591154326684773,0.0009589436231181026,0.003532173577696085,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749725818634033,1.791642665863037,1.7082972526550293,1.6250030994415283,1.5416666269302368
0.5333333333333333,-0.0009052643436007202,-0.0003753487835638225,0.00128411955665797,0.0036900893319398165,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749759197235107,1.7916479110717773,1.7083048820495605,1.6250057220458984,1.5416666269302368
0.55,-0.0007795494748279452,-5.618253999273293e-05,0.001674980972893536,0.0038702907040715218,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.874979019165039,1.7916524410247803,1.7083133459091187,1.625008463859558,1.5416666269302368
0.5666666666666667,-0.0005443483241833746,0.0003451211960054934,0.002092683222144842,0.004052061587572098,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749812841415405,1.791654348373413,1.7083208560943604,1.625009536743164,1.5416666269302368
